id,labels,type,flags,lineno,code,childnum,funcid,classname,namespace,endlineno,name,doccomment
58,AST,AST_ARG_LIST,,55,,1,1,,"",,,
59,AST,string,,55,"localhost",0,1,,"",,,
60,AST,string,,55,"mysql_user",1,1,,"",,,
61,AST,string,,55,"mysql_password",2,1,,"",,,
62,AST,AST_CALL,,56,,8,1,,"",,,
63,AST,AST_NAME,NAME_NOT_FQ,56,,0,1,,"",,,
64,AST,string,,56,"mysql_select_db",0,1,,"",,,
65,AST,AST_ARG_LIST,,56,,1,1,,"",,,
66,AST,string,,56,"dbname",0,1,,"",,,
67,AST,AST_ECHO,,57,,9,1,,"",,,
68,AST,AST_BINARY_OP,BINARY_CONCAT,57,,0,1,,"",,,
69,AST,AST_BINARY_OP,BINARY_CONCAT,57,,0,1,,"",,,
70,AST,string,,57,"query : ",0,1,,"",,,
71,AST,AST_VAR,,57,,1,1,,"",,,
72,AST,string,,57,"VAR_NAME",0,1,,"",,,
73,AST,string,,57,"<br /><br />",1,1,,"",,,
74,AST,AST_ASSIGN,,59,,10,1,,"",,,
75,AST,AST_VAR,,59,,0,1,,"",,,
76,AST,string,,59,"VAR_NAME",0,1,,"",,,
77,AST,AST_CALL,,59,,1,1,,"",,,
78,AST,AST_NAME,NAME_NOT_FQ,59,,0,1,,"",,,
79,AST,string,,59,"T_SQL",0,1,,"",,,
80,AST,AST_ARG_LIST,,59,,1,1,,"",,,
81,AST,AST_VAR,,59,,0,1,,"",,,
82,AST,string,,59,"VAR_NAME",0,1,,"",,,
83,AST,AST_WHILE,,61,,11,1,,"",,,
84,AST,AST_ASSIGN,,61,,0,1,,"",,,
85,AST,AST_VAR,,61,,0,1,,"",,,
86,AST,string,,61,"VAR_NAME",0,1,,"",,,
87,AST,AST_CALL,,61,,1,1,,"",,,
88,AST,AST_NAME,NAME_NOT_FQ,61,,0,1,,"",,,
89,AST,string,,61,"mysql_fetch_array",0,1,,"",,,
90,AST,AST_ARG_LIST,,61,,1,1,,"",,,
91,AST,AST_VAR,,61,,0,1,,"",,,
92,AST,string,,61,"VAR_NAME",0,1,,"",,,
93,AST,AST_STMT_LIST,,61,,1,1,,"",,,
94,AST,AST_CALL,,62,,0,1,,"",,,
95,AST,AST_NAME,NAME_NOT_FQ,62,,0,1,,"",,,
96,AST,string,,62,"print_r",0,1,,"",,,
97,AST,AST_ARG_LIST,,62,,1,1,,"",,,
98,AST,AST_VAR,,62,,0,1,,"",,,
99,AST,string,,62,"VAR_NAME",0,1,,"",,,
100,AST,AST_ECHO,,63,,1,1,,"",,,
101,AST,string,,63,"<br />",0,1,,"",,,
102,AST,AST_CALL,,65,,12,1,,"",,,
103,AST,AST_NAME,NAME_NOT_FQ,65,,0,1,,"",,,
104,AST,string,,65,"mysql_close",0,1,,"",,,
105,AST,AST_ARG_LIST,,65,,1,1,,"",,,
106,AST,AST_VAR,,65,,0,1,,"",,,
107,AST,string,,65,"VAR_NAME",0,1,,"",,,
